fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,id
7.6,0.18,0.28,7.1,0.041,29.0,110.0,197
7.0,0.34,0.26,10.3,0.041,51.0,166.0,198
5.7,0.39,0.25,4.9,0.033,49.0,113.0,199
7.4,0.2,0.37,1.2,0.028,28.0,89.0,200
6.1,0.3,0.47,1.4,0.049,50.0,187.0,201
6.9,0.3,0.21,15.7,0.056,49.0,159.0,202
6.9,0.19,0.35,5.0,0.067,32.0,150.0,203
6.7,0.46,0.27,5.2,0.039,35.0,96.0,204
6.5,0.29,0.26,7.0,0.04,18.0,113.0,205
7.0,0.23,0.42,18.05,0.05,35.0,144.0,206
6.4,0.17,0.27,9.9,0.047,26.0,101.0,207
6.9,0.28,0.41,1.7,0.05,10.0,136.0,208
6.7,0.12,0.36,2.3,0.039,43.0,125.0,209
6.0,0.3,0.33,2.1,0.042,31.0,127.0,210
6.9,0.44,0.18,11.8,0.051,26.0,126.0,211
7.4,0.21,0.27,1.2,0.041,27.0,99.0,212
6.4,0.35,0.51,7.8,0.055,53.0,177.0,213
6.7,0.19,0.23,6.2,0.047,36.0,117.0,214
6.5,0.29,0.52,7.9,0.049,35.0,192.0,215
7.2,0.29,0.53,18.15,0.047,59.0,182.0,216
7.6,0.2,0.3,14.2,0.056,53.0,212.5,217
7.1,0.2,0.31,6.85,0.053,32.0,211.0,218
7.4,0.33,0.26,15.6,0.049,67.0,210.0,219
7.1,0.12,0.32,9.6,0.054,64.0,162.0,220
7.0,0.2,0.33,4.7,0.03,25.0,76.0,221
6.6,0.26,0.56,15.4,0.053,32.0,141.0,222
6.9,0.24,0.36,20.8,0.031,40.0,139.0,223
7.1,0.36,0.24,1.8,0.025,32.0,102.0,224
6.9,0.32,0.15,8.1,0.046,51.0,180.0,225
6.5,0.2,0.35,3.9,0.04,27.0,140.0,226
7.5,0.19,0.49,1.6,0.047,42.0,140.0,227
8.1,0.28,0.39,1.9,0.029,18.0,79.0,228
7.7,0.38,0.23,10.8,0.03,28.0,95.0,229
7.4,0.18,0.3,10.4,0.045,44.0,174.0,230
7.4,0.26,0.37,9.4,0.047,42.0,147.0,231
7.7,0.42,0.38,8.1,0.061,49.0,144.0,232
6.4,0.27,0.49,7.3,0.046,53.0,206.0,233
6.6,0.24,0.38,12.75,0.034,8.0,74.0,234
8.7,0.15,0.3,1.6,0.046,29.0,130.0,235
7.8,0.26,0.49,3.1,0.045,21.0,116.0,236
6.5,0.48,0.02,0.9,0.043,32.0,99.0,237
5.9,0.31,0.3,7.7,0.047,60.0,206.0,238
6.5,0.19,0.1,1.3,0.046,23.0,107.0,239
7.6,0.19,0.32,18.75,0.047,32.0,193.0,240
8.1,0.24,0.38,4.3,0.044,49.0,172.0,241
7.3,0.2,0.39,2.3,0.048,24.0,87.0,242
6.5,0.21,0.28,1.4,0.046,26.0,66.0,243
5.2,0.38,0.26,7.7,0.053,20.0,103.0,244
6.1,0.38,0.47,1.4,0.051,59.0,210.0,245
7.0,0.21,0.34,8.5,0.033,31.0,253.0,246
6.9,0.35,0.55,11.95,0.038,22.0,111.0,247
6.1,0.27,0.32,6.2,0.048,47.0,161.0,248
6.8,0.23,0.32,1.6,0.026,43.0,147.0,249
6.4,0.27,0.29,10.8,0.028,17.0,118.0,250
8.1,0.3,0.49,8.1,0.037,26.0,174.0,251
7.4,0.22,0.28,9.0,0.046,22.0,121.0,252
6.7,0.22,0.39,1.2,0.049,26.0,152.0,253
5.9,0.445,0.26,1.4,0.027,23.0,109.0,254
6.2,0.17,0.3,1.1,0.037,14.0,79.0,255
6.5,0.18,0.34,1.6,0.04,43.0,148.0,256
7.8,0.445,0.56,1.0,0.04,8.0,84.0,257
5.0,0.33,0.23,11.8,0.03,23.0,158.0,258
7.1,0.2,0.34,16.0,0.05,51.0,166.0,259
6.5,0.28,0.28,20.4,0.041,40.0,144.0,260
7.4,0.18,0.36,13.1,0.056,72.0,163.0,261
7.3,0.23,0.34,9.3,0.052,19.0,86.0,262
8.0,0.24,0.36,1.5,0.047,17.0,129.0,263
6.7,0.31,0.42,6.4,0.057,25.0,148.0,264
6.0,0.38,0.26,6.0,0.034,42.0,134.0,265
6.8,0.31,0.09,1.4,0.04,56.0,145.0,266
6.6,0.38,0.15,4.6,0.044,25.0,78.0,267
5.9,0.24,0.26,12.3,0.053,34.0,134.0,268
8.0,0.34,0.25,6.4,0.035,38.0,103.0,269
6.9,0.38,0.32,8.5,0.044,36.0,152.0,270
7.6,0.29,0.49,9.6,0.03,45.0,197.0,271
7.8,0.23,0.28,4.75,0.042,45.0,166.0,272
6.6,0.34,0.27,6.2,0.059,23.0,136.0,273
6.4,0.26,0.21,8.2,0.05,51.0,182.0,274
6.7,0.17,0.37,2.0,0.039,34.0,125.0,275
7.3,0.4,0.24,6.7,0.058,41.0,166.0,276
6.2,0.23,0.38,1.6,0.044,12.0,113.0,277
6.8,0.4,0.29,2.8,0.044,27.0,97.0,278
6.5,0.23,0.2,7.5,0.05,44.0,179.0,279
6.2,0.21,0.52,6.5,0.047,28.0,123.0,280
6.9,0.32,0.13,7.8,0.042,11.0,117.0,281
6.4,0.37,0.19,3.5,0.068,18.0,101.0,282
6.9,0.28,0.37,9.1,0.037,16.0,76.0,283
7.0,0.3,0.32,6.4,0.034,28.0,97.0,284
6.5,0.37,0.3,2.2,0.033,39.0,107.0,285
6.4,0.3,0.51,5.5,0.048,62.0,172.0,286
6.3,0.33,0.42,17.2,0.037,57.0,170.0,287
6.7,0.28,0.34,8.9,0.048,32.0,111.0,288
6.5,0.43,0.28,12.0,0.056,23.0,174.0,289
7.8,0.28,0.22,1.4,0.056,24.0,130.0,290
6.8,0.26,0.24,7.8,0.052,54.0,214.0,291
7.5,0.41,0.23,14.8,0.054,28.0,174.0,292
6.6,0.18,0.28,1.7,0.041,53.0,161.0,293
7.1,0.36,0.56,1.3,0.046,25.0,102.0,294
6.7,0.16,0.32,12.5,0.035,18.0,156.0,295
7.0,0.14,0.28,1.3,0.026,10.0,56.0,296
6.4,0.26,0.26,1.1,0.052,22.0,176.0,297
5.1,0.165,0.22,5.7,0.047,42.0,146.0,298
7.6,0.27,0.24,3.8,0.058,19.0,115.0,299
7.5,0.32,0.49,1.7,0.031,44.0,109.0,300
7.2,0.29,0.18,8.2,0.042,41.0,180.0,301
7.6,0.27,0.52,3.2,0.043,28.0,152.0,302
7.6,0.37,0.34,3.2,0.028,42.0,162.0,303
7.2,0.32,0.36,2.0,0.033,37.0,114.0,304
7.4,0.29,0.28,10.2,0.032,43.0,138.0,305
7.2,0.22,0.28,7.2,0.06,41.0,132.0,306
6.6,0.34,0.4,8.1,0.046,68.0,170.0,307
6.4,0.25,0.32,11.3,0.038,69.0,192.0,308
7.2,0.24,0.3,1.2,0.037,11.0,95.0,309
5.2,0.21,0.31,1.7,0.048,17.0,61.0,310
7.6,0.33,0.41,13.7,0.045,44.0,197.0,311
5.9,0.24,0.3,2.0,0.033,28.0,92.0,312
8.8,0.17,0.38,1.8,0.04,39.0,148.0,313
6.2,0.23,0.36,17.2,0.039,37.0,130.0,314
6.3,0.33,0.27,1.2,0.046,34.0,175.0,315
7.3,0.32,0.48,13.3,0.06,57.0,196.0,316
6.2,0.3,0.26,13.4,0.046,57.0,206.0,317
7.3,0.34,0.39,5.2,0.04,45.0,163.0,318
6.0,0.19,0.26,12.4,0.048,50.0,147.0,319
7.9,0.22,0.24,4.6,0.044,39.0,159.0,320
7.1,0.32,0.32,11.0,0.038,16.0,66.0,321
7.2,0.31,0.46,5.0,0.04,3.0,29.0,322
7.9,0.36,0.53,12.9,0.049,63.0,139.0,323
8.0,0.42,0.36,5.0,0.037,34.0,101.0,324
5.6,0.28,0.4,6.1,0.034,36.0,118.0,325
6.9,0.19,0.31,19.25,0.043,38.0,167.0,326
6.9,0.15,0.29,2.3,0.033,14.0,82.0,327
7.2,0.24,0.4,1.4,0.045,31.0,106.0,328
6.6,0.25,0.3,14.4,0.052,40.0,183.0,329
6.2,0.27,0.32,6.3,0.048,47.0,159.0,330
6.3,0.23,0.3,1.8,0.033,16.0,91.0,331
6.6,0.18,0.28,1.7,0.041,53.0,161.0,332
6.7,0.44,0.31,1.9,0.03,41.0,104.0,333
6.6,0.41,0.31,1.6,0.042,18.0,101.0,334
7.8,0.43,0.49,13.0,0.033,37.0,158.0,335
6.9,0.19,0.32,7.9,0.042,30.0,130.0,336
6.7,0.16,0.34,1.6,0.026,27.0,109.0,337
6.8,0.16,0.4,2.3,0.037,18.0,102.0,338
5.8,0.26,0.3,2.6,0.034,75.0,129.0,339
7.0,0.28,0.33,14.6,0.043,47.0,168.0,340
8.0,0.2,0.4,5.2,0.055,41.0,167.0,341
7.5,0.26,0.52,13.2,0.047,64.0,179.0,342
8.1,0.24,0.32,10.5,0.03,34.0,105.0,343
6.6,0.25,0.25,1.3,0.04,28.0,85.0,344
5.7,0.245,0.33,1.1,0.049,28.0,150.0,345
8.4,0.32,0.35,11.7,0.029,3.0,46.0,346
7.1,0.26,0.31,2.2,0.044,29.0,128.0,347
7.8,0.28,0.31,2.1,0.046,28.0,208.0,348
7.3,0.26,0.32,1.2,0.041,29.0,94.0,349
6.3,0.23,0.33,6.9,0.052,23.0,118.0,350
6.5,0.17,0.31,1.5,0.041,34.0,121.0,351
6.1,0.27,0.44,6.7,0.041,61.0,230.0,352
6.5,0.28,0.29,2.7,0.038,26.0,107.0,353
8.7,0.45,0.4,1.5,0.067,17.0,100.0,354
5.9,0.3,0.3,2.0,0.03,38.0,142.0,355
6.1,0.35,0.07,1.4,0.069,22.0,108.0,356
6.1,0.28,0.3,7.75,0.031,33.0,139.0,357
6.4,0.25,0.33,1.4,0.04,42.0,115.0,358
8.4,0.18,0.42,5.1,0.036,7.0,77.0,359
6.9,0.27,0.41,1.7,0.047,6.0,134.0,360
6.1,0.34,0.21,5.0,0.042,17.0,133.0,361
6.0,0.34,0.29,6.1,0.046,29.0,134.0,362
6.5,0.2,0.31,2.1,0.033,32.0,95.0,363
8.2,0.2,0.49,3.5,0.057,14.0,108.0,364
7.6,0.2,0.3,14.2,0.056,53.0,212.5,365
5.8,0.34,0.16,7.0,0.037,26.0,116.0,366
6.1,0.22,0.28,16.55,0.059,54.0,135.0,367
8.3,0.2,0.49,1.7,0.04,34.0,169.0,368
6.3,0.3,0.34,1.6,0.049,14.0,132.0,369
6.3,0.22,0.34,5.0,0.032,36.0,93.0,370
6.0,0.28,0.27,2.3,0.051,23.0,147.0,371
8.0,0.45,0.36,8.8,0.026,50.0,151.0,372
6.8,0.3,0.22,6.2,0.06,41.0,190.0,373
7.0,0.32,0.34,1.3,0.042,20.0,69.0,374
7.3,0.23,0.41,14.6,0.048,73.0,223.0,375
6.8,0.34,0.1,1.4,0.049,29.0,118.0,376
7.3,0.17,0.36,8.2,0.028,44.0,111.0,377
6.6,0.15,0.32,6.0,0.033,59.0,128.0,378
7.8,0.15,0.24,7.7,0.047,21.0,98.0,379
6.7,0.24,0.41,8.7,0.036,29.0,148.0,380
6.4,0.29,0.21,9.65,0.041,36.0,119.0,381
5.9,0.23,0.3,12.9,0.054,57.0,170.0,382
6.5,0.28,0.35,15.4,0.042,55.0,195.0,383
7.5,0.33,0.28,4.9,0.042,21.0,155.0,384
7.8,0.29,0.36,7.0,0.042,38.0,161.0,385
7.8,0.24,0.38,2.1,0.058,14.0,167.0,386
6.9,0.25,0.35,9.2,0.034,42.0,150.0,387
6.9,0.25,0.35,9.2,0.034,42.0,150.0,388
6.9,0.25,0.4,1.3,0.038,22.0,101.0,389
6.1,0.27,0.28,9.8,0.042,61.0,125.0,390
6.4,0.14,0.31,1.2,0.034,53.0,138.0,391
5.8,0.19,0.33,4.2,0.038,49.0,133.0,392
5.9,0.29,0.32,1.4,0.022,17.0,47.0,393
7.4,0.3,0.49,8.2,0.055,49.0,188.0,394
6.0,0.3,0.44,1.5,0.046,15.0,182.0,395
7.5,0.25,0.32,8.2,0.024,53.0,209.0,396
7.3,0.41,0.29,1.8,0.032,26.0,74.0,397
7.3,0.22,0.5,13.7,0.049,56.0,189.0,398
7.9,0.22,0.49,3.8,0.042,26.0,105.0,399
6.1,0.36,0.41,19.35,0.07,67.0,207.0,400
7.4,0.16,0.27,15.5,0.05,25.0,135.0,401
8.0,0.23,0.46,1.5,0.03,30.0,125.0,402
6.7,0.19,0.39,1.0,0.032,14.0,71.0,403
5.3,0.23,0.56,0.9,0.041,46.0,141.0,404
7.2,0.16,0.35,1.2,0.031,27.0,84.0,405
6.4,0.15,0.44,1.2,0.043,67.0,150.0,406
7.3,0.19,0.25,1.4,0.051,41.0,107.0,407
8.0,0.34,0.49,9.0,0.033,39.0,180.0,408
7.9,0.2,0.39,1.0,0.041,37.0,154.0,409
5.9,0.37,0.32,1.6,0.029,41.0,102.0,410
7.1,0.31,0.25,11.2,0.048,32.0,136.0,411
6.1,0.38,0.2,6.6,0.033,25.0,137.0,412
7.6,0.17,0.27,4.6,0.05,23.0,98.0,413
5.9,0.29,0.16,7.9,0.044,48.0,197.0,414
6.9,0.18,0.38,6.5,0.039,20.0,110.0,415
7.0,0.15,0.28,14.7,0.051,29.0,149.0,416
7.0,0.21,0.42,5.3,0.037,36.0,123.0,417
6.8,0.26,0.34,15.1,0.06,42.0,162.0,418
7.9,0.29,0.36,11.1,0.033,43.0,208.0,419
7.8,0.25,0.34,13.7,0.044,66.0,184.0,420
5.7,0.26,0.25,10.4,0.02,7.0,57.0,421
6.0,0.16,0.22,1.6,0.042,36.0,106.0,422
6.4,0.28,0.44,7.1,0.048,49.0,179.0,423
7.3,0.26,0.49,5.0,0.028,32.0,107.0,424
8.8,0.34,0.33,9.7,0.036,46.0,172.0,425
5.2,0.36,0.02,1.6,0.031,24.0,104.0,426
6.8,0.34,0.27,5.2,0.06,14.0,169.0,427
6.9,0.19,0.33,1.6,0.039,27.0,98.0,428
6.4,0.18,0.32,9.6,0.052,24.0,90.0,429
7.4,0.24,0.31,8.4,0.045,52.0,183.0,430
7.8,0.27,0.33,2.4,0.053,36.0,175.0,431
7.5,0.18,0.31,11.7,0.051,24.0,94.0,432
6.5,0.19,0.28,1.4,0.046,22.0,90.0,433
6.8,0.27,0.3,13.0,0.047,69.0,160.0,434
6.2,0.34,0.3,11.1,0.047,28.0,237.0,435
8.1,0.2,0.49,11.8,0.048,46.0,212.0,436
7.2,0.29,0.4,13.6,0.045,66.0,231.0,437
7.2,0.15,0.38,1.2,0.038,18.0,110.0,438
6.9,0.19,0.49,6.6,0.036,49.0,172.0,439
7.0,0.27,0.48,6.1,0.042,60.0,184.0,440
7.4,0.3,0.49,8.2,0.055,49.0,188.0,441
6.7,0.18,0.28,10.2,0.039,29.0,115.0,442
6.5,0.22,0.25,17.1,0.05,44.0,138.0,443
8.6,0.17,0.28,2.7,0.047,38.0,150.0,444
6.9,0.35,0.55,11.95,0.038,22.0,111.0,445
6.3,0.27,0.25,5.8,0.038,52.0,155.0,446
7.1,0.23,0.3,2.6,0.034,62.0,148.0,447
6.0,0.39,0.26,2.7,0.038,39.0,187.0,448
7.6,0.29,0.26,6.5,0.042,32.0,160.0,449
8.6,0.18,0.28,0.8,0.032,25.0,78.0,450
6.0,0.28,0.35,1.9,0.037,16.0,120.0,451
7.3,0.22,0.49,9.4,0.034,29.0,134.0,452
6.4,0.24,0.26,8.2,0.054,47.0,182.0,453
6.6,0.31,0.49,7.7,0.05,52.0,220.0,454
6.4,0.25,0.3,5.5,0.038,15.0,129.0,455
6.2,0.47,0.19,8.3,0.029,24.0,142.0,456
6.1,0.24,0.32,9.0,0.031,41.0,134.0,457
7.9,0.11,0.49,4.5,0.048,27.0,133.0,458
7.4,0.32,0.22,1.7,0.051,50.0,179.0,459
7.1,0.17,0.31,1.6,0.037,15.0,103.0,460
7.2,0.21,0.41,1.3,0.036,33.0,85.0,461
