quality,region,color,id
6,Dao,White,183
6,Terras De Cister,White,184
8,Terras De Cister,Red,185
5,Dao,White,186
7,Minho,Red,187
6,Tejo,White,188
5,Beira Atlantico,Rose,189
5,Alentejo,White,190
6,Alentejo,White,191
5,Beira Interior,White,192
6,Dao,White,193
5,Madeira,White,194
6,Transmontano,Rose,195
5,Lisboa,Red,196
6,Madeira,Rose,197
6,Dao,Rose,198
7,Minho,Red,199
6,Douro Valley,White,200
5,Beira Interior,Red,201
5,Beira Interior,White,202
5,Douro Valley,Red,203
7,Terras De Cister,White,204
6,Terras De Cister,White,205
5,Alentejo,Red,206
6,Algarve,Rose,207
6,Dao,Red,208
7,Lisboa,Red,209
6,Setubal,Red,210
5,Beira Interior,Red,211
6,Beira Interior,Red,212
5,Lisboa,Rose,213
6,Terras De Cister,Red,214
6,Dao,Rose,215
5,Beira Atlantico,Rose,216
8,Douro Valley,Rose,217
6,Douro Valley,Rose,218
5,Douro Valley,White,219
5,Lisboa,White,220
6,Terras De Cister,White,221
5,Beira Atlantico,Red,222
6,Beira Atlantico,White,223
6,Tejo,Rose,224
5,Douro Valley,Red,225
6,Transmontano,Red,226
6,Douro Valley,Red,227
6,Algarve,Red,228
6,Minho,Rose,229
6,Madeira,Rose,230
5,Algarve,Rose,231
6,Douro Valley,White,232
6,Madeira,White,233
6,Beira Atlantico,White,234
6,Douro Valley,White,235
5,Lisboa,Red,236
4,Douro Valley,White,237
6,Algarve,Rose,238
5,Madeira,Rose,239
7,Beira Atlantico,Red,240
6,Terras De Cister,Red,241
6,Setubal,Rose,242
6,Douro Valley,Red,243
6,Minho,Red,244
5,Dao,Rose,245
6,Tejo,White,246
5,Setubal,White,247
6,Dao,Rose,248
6,Douro Valley,Rose,249
6,Douro Valley,Red,250
7,Beira Atlantico,White,251
5,Minho,Red,252
6,Minho,Red,253
6,Beira Atlantico,Rose,254
6,Terras De Cister,Red,255
8,Beira Interior,White,256
5,Alentejo,Rose,257
6,Terras De Cister,White,258
6,Beira Interior,Rose,259
5,Terras De Cister,Red,260
6,Dao,Rose,261
5,Setubal,Red,262
6,Algarve,White,263
5,Tejo,Rose,264
7,Dao,White,265
5,Lisboa,Red,266
6,Setubal,Red,267
6,Transmontano,Rose,268
6,Dao,Rose,269
7,Madeira,White,270
7,Beira Interior,Rose,271
5,Terras De Cister,White,272
6,Minho,White,273
5,Terras De Cister,Rose,274
7,Dao,White,275
6,Madeira,Rose,276
5,Transmontano,Rose,277
6,Dao,Red,278
5,Minho,White,279
6,Algarve,White,280
5,Madeira,Red,281
6,Tejo,Red,282
5,Setubal,Red,283
6,Terras De Cister,White,284
7,Douro Valley,Rose,285
6,Setubal,Rose,286
6,Dao,White,287
7,Douro Valley,Red,288
5,Setubal,Rose,289
5,Douro Valley,Rose,290
5,Setubal,Rose,291
5,Terras De Cister,Rose,292
6,Lisboa,Red,293
6,Madeira,Red,294
6,Setubal,White,295
5,Alentejo,White,296
5,Douro Valley,Red,297
6,Setubal,Red,298
5,Alentejo,White,299
6,Alentejo,Red,300
5,Dao,White,301
6,Setubal,Rose,302
6,Minho,White,303
7,Lisboa,Rose,304
6,Beira Interior,Red,305
6,Minho,Rose,306
6,Beira Atlantico,White,307
6,Lisboa,White,308
6,Setubal,Rose,309
7,Tejo,Rose,310
5,Minho,Red,311
7,Terras De Cister,White,312
6,Madeira,Red,313
6,Dao,Red,314
6,Beira Atlantico,Red,315
5,Beira Interior,White,316
6,Minho,Rose,317
6,Algarve,Red,318
6,Transmontano,White,319
6,Douro Valley,White,320
3,Beira Interior,White,321
4,Transmontano,White,322
5,Dao,Rose,323
7,Transmontano,White,324
7,Algarve,Red,325
7,Terras De Cister,Rose,326
7,Beira Interior,White,327
6,Terras De Cister,Red,328
6,Tejo,Red,329
6,Alentejo,Rose,330
6,Algarve,White,331
6,Tejo,Red,332
7,Tejo,White,333
5,Douro Valley,White,334
6,Beira Atlantico,White,335
6,Algarve,Rose,336
6,Beira Atlantico,Red,337
7,Beira Atlantico,Red,338
4,Beira Interior,Red,339
6,Setubal,White,340
7,Minho,White,341
5,Minho,White,342
6,Setubal,White,343
6,Dao,Red,344
5,Tejo,Rose,345
6,Setubal,Red,346
8,Alentejo,Red,347
5,Beira Atlantico,Red,348
6,Minho,Red,349
6,Beira Atlantico,Rose,350
6,Setubal,Red,351
5,Transmontano,Rose,352
7,Transmontano,White,353
6,Alentejo,Red,354
7,Douro Valley,Rose,355
5,Beira Interior,Rose,356
6,Beira Interior,Rose,357
7,Setubal,Rose,358
5,Tejo,Rose,359
6,Beira Atlantico,Rose,360
5,Beira Atlantico,Rose,361
6,Douro Valley,Red,362
6,Terras De Cister,Red,363
6,Madeira,Red,364
8,Transmontano,Red,365
7,Dao,Red,366
5,Madeira,White,367
5,Alentejo,White,368
6,Lisboa,Rose,369
7,Transmontano,Rose,370
6,Beira Atlantico,White,371
8,Beira Atlantico,White,372
5,Terras De Cister,Rose,373
7,Dao,White,374
6,Beira Interior,White,375
5,Terras De Cister,White,376
6,Douro Valley,Red,377
8,Dao,White,378
6,Douro Valley,Red,379
6,Douro Valley,Red,380
6,Tejo,Red,381
5,Tejo,Rose,382
6,Lisboa,Red,383
6,Douro Valley,White,384
8,Beira Interior,Rose,385
5,Beira Interior,Rose,386
6,Tejo,Rose,387
6,Dao,Red,388
6,Beira Atlantico,Red,389
6,Terras De Cister,White,390
7,Douro Valley,Rose,391
7,Beira Interior,Red,392
6,Madeira,Red,393
6,Setubal,Red,394
5,Beira Interior,White,395
6,Beira Interior,Red,396
8,Madeira,Rose,397
6,Dao,Red,398
5,Madeira,Red,399
5,Algarve,Red,400
7,Setubal,Rose,401
6,Madeira,Rose,402
7,Beira Atlantico,Rose,403
5,Beira Interior,Rose,404
5,Minho,White,405
7,Transmontano,Red,406
7,Tejo,Red,407
8,Setubal,White,408
5,Alentejo,Rose,409
7,Beira Atlantico,White,410
5,Terras De Cister,White,411
6,Minho,Rose,412
6,Douro Valley,Red,413
5,Madeira,Rose,414
5,Alentejo,Rose,415
7,Terras De Cister,Rose,416
6,Setubal,White,417
3,Beira Interior,Red,418
5,Alentejo,Rose,419
5,Beira Atlantico,Rose,420
5,Lisboa,Red,421
6,Alentejo,White,422
5,Beira Interior,Red,423
6,Beira Interior,White,424
5,Setubal,Red,425
6,Beira Interior,Rose,426
6,Lisboa,White,427
7,Minho,Red,428
6,Tejo,Rose,429
5,Minho,White,430
6,Setubal,White,431
7,Transmontano,White,432
7,Lisboa,White,433
6,Setubal,White,434
5,Tejo,White,435
7,Dao,Rose,436
6,Madeira,Rose,437
6,Tejo,Red,438
6,Alentejo,Red,439
6,Minho,Red,440
6,Minho,White,441
7,Terras De Cister,White,442
5,Douro Valley,Rose,443
6,Algarve,Red,444
5,Beira Atlantico,Red,445
6,Beira Atlantico,White,446
7,Douro Valley,Red,447
6,Tejo,White,448
5,Douro Valley,White,449
5,Dao,White,450
5,Beira Interior,White,451
7,Algarve,White,452
5,Alentejo,White,453
5,Beira Interior,Red,454
6,Beira Interior,Rose,455
6,Tejo,Rose,456
7,Douro Valley,Rose,457
6,Madeira,Red,458
5,Dao,Red,459
6,Minho,Rose,460
5,Douro Valley,White,461
4,Dao,White,462
7,Minho,Red,463
6,Transmontano,Red,464
7,Alentejo,White,465
4,Algarve,Rose,466
6,Beira Atlantico,Rose,467
6,Algarve,White,468
6,Madeira,Rose,469
5,Madeira,Rose,470
7,Madeira,Red,471
7,Transmontano,Red,472
7,Minho,White,473
6,Alentejo,White,474
6,Terras De Cister,White,475
6,Minho,White,476
6,Algarve,Rose,477
6,Dao,White,478
6,Lisboa,Rose,479
7,Tejo,Red,480
6,Tejo,White,481
6,Lisboa,Red,482
5,Beira Interior,Rose,483
6,Setubal,Rose,484
6,Madeira,Rose,485
6,Douro Valley,Rose,486
6,Alentejo,Red,487
5,Transmontano,Rose,488
7,Beira Atlantico,White,489
7,Alentejo,White,490
5,Tejo,Red,491
8,Transmontano,Rose,492
6,Tejo,Red,493
4,Setubal,White,494
6,Madeira,Rose,495
5,Alentejo,White,496
5,Beira Atlantico,Rose,497
6,Setubal,Rose,498
5,Minho,Red,499
7,Terras De Cister,Rose,500
7,Terras De Cister,Red,501
6,Algarve,White,502
6,Alentejo,White,503
6,Transmontano,White,504
6,Tejo,Red,505
5,Transmontano,Red,506
6,Minho,White,507
6,Madeira,White,508
5,Beira Interior,White,509
6,Beira Interior,White,510
6,Terras De Cister,Red,511
6,Transmontano,White,512
5,Lisboa,White,513
4,Dao,Red,514
5,Terras De Cister,Rose,515
7,Terras De Cister,Red,516
6,Algarve,Rose,517
5,Lisboa,White,518
6,Minho,Rose,519
6,Dao,Rose,520
7,Transmontano,Red,521
7,Terras De Cister,Red,522
6,Alentejo,White,523
5,Douro Valley,White,524
5,Lisboa,Red,525
6,Transmontano,Rose,526
6,Beira Interior,Rose,527
6,Algarve,White,528
6,Madeira,White,529
6,Minho,Rose,530
6,Madeira,White,531
6,Douro Valley,Rose,532
6,Setubal,Red,533
6,Dao,Red,534
5,Douro Valley,Red,535
5,Algarve,Rose,536
6,Algarve,Rose,537
5,Setubal,Rose,538
6,Minho,White,539
5,Transmontano,Rose,540
4,Dao,White,541
6,Beira Interior,White,542
5,Beira Atlantico,Red,543
8,Alentejo,Rose,544
6,Beira Interior,White,545
5,Alentejo,Red,546
6,Alentejo,Rose,547
6,Algarve,Red,548
7,Madeira,Red,549
6,Alentejo,White,550
7,Tejo,Rose,551
6,Dao,White,552
6,Lisboa,Red,553
6,Tejo,White,554
6,Tejo,Rose,555
6,Beira Atlantico,Rose,556
5,Minho,White,557
5,Beira Interior,Rose,558
6,Terras De Cister,White,559
6,Tejo,Red,560
6,Algarve,White,561
7,Lisboa,Rose,562
6,Douro Valley,Red,563
6,Algarve,Red,564
5,Terras De Cister,Rose,565
5,Algarve,Rose,566
6,Madeira,Rose,567
6,Dao,Rose,568
5,Algarve,White,569
6,Lisboa,Rose,570
6,Beira Atlantico,White,571
5,Alentejo,Red,572
5,Dao,Red,573
6,Minho,Red,574
5,Minho,Rose,575
6,Terras De Cister,Red,576
5,Tejo,Red,577
6,Transmontano,White,578
5,Madeira,White,579
6,Terras De Cister,Red,580
5,Beira Interior,Red,581
7,Terras De Cister,White,582
7,Douro Valley,White,583
5,Algarve,White,584
7,Beira Interior,White,585
6,Dao,Red,586
6,Tejo,White,587
6,Minho,White,588
6,Transmontano,Red,589
5,Minho,Rose,590
6,Dao,Red,591
7,Setubal,Rose,592
5,Beira Atlantico,Red,593
6,Lisboa,Red,594
6,Douro Valley,White,595
6,Beira Interior,Red,596
5,Dao,White,597
6,Terras De Cister,Red,598
7,Algarve,Red,599
7,Algarve,Rose,600
7,Terras De Cister,Red,601
5,Alentejo,White,602
8,Minho,White,603
5,Setubal,Rose,604
8,Tejo,Red,605
7,Douro Valley,Red,606
7,Alentejo,Rose,607
5,Dao,Red,608
6,Transmontano,Rose,609
6,Transmontano,Red,610
6,Algarve,Rose,611
6,Setubal,White,612
5,Madeira,Red,613
5,Minho,White,614
5,Madeira,Red,615
5,Minho,Red,616
5,Lisboa,White,617
5,Douro Valley,Red,618
7,Terras De Cister,Rose,619
6,Douro Valley,Red,620
6,Terras De Cister,Red,621
5,Douro Valley,Red,622
6,Douro Valley,White,623
6,Alentejo,Red,624
6,Terras De Cister,White,625
5,Dao,Red,626
5,Dao,Red,627
5,Terras De Cister,White,628
6,Beira Interior,Rose,629
5,Beira Interior,Red,630
6,Beira Interior,Rose,631
6,Beira Interior,Red,632
6,Dao,Red,633
6,Transmontano,White,634
6,Transmontano,Red,635
6,Madeira,Red,636
7,Lisboa,Red,637
6,Transmontano,White,638
7,Douro Valley,Red,639
6,Lisboa,Rose,640
6,Algarve,Red,641
5,Tejo,Red,642
6,Dao,White,643
6,Madeira,Red,644
7,Terras De Cister,White,645
5,Douro Valley,White,646
4,Terras De Cister,Rose,647
5,Beira Interior,Rose,648
5,Setubal,Rose,649
5,Terras De Cister,White,650
6,Alentejo,Red,651
5,Madeira,White,652
7,Transmontano,White,653
6,Setubal,White,654
5,Madeira,White,655
6,Tejo,White,656
6,Algarve,Rose,657
6,Algarve,White,658
5,Setubal,Rose,659
5,Tejo,Red,660
7,Beira Interior,Rose,661
6,Beira Interior,White,662
5,Transmontano,Rose,663
6,Beira Atlantico,Rose,664
5,Madeira,Red,665
6,Alentejo,Red,666
5,Beira Atlantico,Red,667
5,Madeira,Rose,668
6,Madeira,White,669
7,Douro Valley,Red,670
5,Dao,White,671
6,Minho,Red,672
6,Minho,Rose,673
8,Transmontano,White,674
6,Lisboa,Rose,675
5,Terras De Cister,Rose,676
6,Beira Interior,Rose,677
5,Beira Interior,Red,678
6,Lisboa,Rose,679
5,Lisboa,White,680
6,Setubal,Rose,681
6,Douro Valley,Red,682
6,Algarve,Rose,683
5,Madeira,White,684
5,Lisboa,White,685
6,Alentejo,Rose,686
5,Beira Atlantico,White,687
6,Alentejo,White,688
5,Beira Atlantico,Rose,689
6,Terras De Cister,Rose,690
7,Tejo,White,691
6,Transmontano,Red,692
7,Douro Valley,Rose,693
5,Beira Interior,Red,694
6,Douro Valley,White,695
6,Douro Valley,White,696
5,Terras De Cister,White,697
5,Minho,White,698
6,Beira Atlantico,Rose,699
4,Beira Interior,Red,700
5,Lisboa,Red,701
5,Beira Atlantico,Rose,702
6,Transmontano,White,703
7,Minho,Rose,704
7,Dao,Red,705
5,Algarve,Rose,706
5,Dao,Red,707
6,Tejo,White,708
7,Setubal,Rose,709
5,Alentejo,Rose,710
6,Alentejo,White,711
6,Lisboa,White,712
6,Dao,White,713
6,Madeira,Rose,714
5,Douro Valley,Red,715
6,Terras De Cister,Red,716
7,Douro Valley,Rose,717
5,Algarve,White,718
5,Dao,White,719
6,Algarve,Red,720
6,Alentejo,White,721
6,Douro Valley,Rose,722
5,Lisboa,White,723
5,Dao,Rose,724
6,Setubal,Red,725
6,Tejo,Rose,726
5,Setubal,Red,727
6,Alentejo,White,728
4,Algarve,Rose,729
5,Terras De Cister,White,730
7,Beira Interior,Red,731
5,Tejo,Rose,732
5,Terras De Cister,Rose,733
5,Douro Valley,Rose,734
5,Tejo,Rose,735
5,Setubal,White,736
6,Dao,White,737
5,Madeira,Red,738
5,Alentejo,Red,739
5,Transmontano,Red,740
7,Lisboa,White,741
5,Lisboa,White,742
7,Setubal,Rose,743
6,Terras De Cister,Rose,744
4,Dao,White,745
6,Terras De Cister,White,746
5,Setubal,Rose,747
7,Minho,Rose,748
7,Alentejo,White,749
6,Douro Valley,Red,750
6,Dao,White,751
6,Dao,Red,752
7,Terras De Cister,Red,753
6,Setubal,White,754
6,Dao,Red,755
8,Dao,Rose,756
5,Douro Valley,Rose,757
6,Beira Interior,Rose,758
7,Douro Valley,White,759
6,Dao,White,760
6,Algarve,White,761
6,Madeira,White,762
6,Dao,Rose,763
5,Beira Interior,White,764
5,Dao,Red,765
7,Alentejo,Rose,766
6,Madeira,White,767
5,Alentejo,White,768
5,Madeira,White,769
5,Transmontano,Rose,770
6,Beira Interior,Rose,771
6,Douro Valley,Red,772
5,Madeira,Rose,773
6,Beira Atlantico,Red,774
7,Dao,Rose,775
6,Algarve,White,776
6,Terras De Cister,Rose,777
8,Setubal,White,778
6,Douro Valley,Rose,779
7,Lisboa,Rose,780
6,Setubal,Red,781
8,Lisboa,White,782
6,Dao,White,783
7,Setubal,Red,784
4,Transmontano,Red,785
6,Douro Valley,Rose,786
6,Transmontano,Rose,787
6,Tejo,Red,788
6,Tejo,Rose,789
5,Tejo,Rose,790
7,Terras De Cister,White,791
8,Algarve,Rose,792
5,Alentejo,Red,793
5,Beira Atlantico,Rose,794
6,Terras De Cister,Rose,795
7,Dao,Red,796
8,Transmontano,Red,797
7,Algarve,Rose,798
6,Setubal,Rose,799
8,Minho,Rose,800
6,Madeira,White,801
6,Minho,White,802
5,Terras De Cister,Rose,803
7,Beira Atlantico,Rose,804
5,Beira Interior,Rose,805
6,Douro Valley,Red,806
8,Madeira,White,807
6,Terras De Cister,White,808
7,Transmontano,Rose,809
5,Beira Interior,Rose,810
5,Minho,White,811
7,Dao,Rose,812
7,Terras De Cister,Red,813
6,Algarve,Rose,814
5,Beira Interior,White,815
5,Beira Interior,Red,816
5,Beira Atlantico,Rose,817
5,Lisboa,White,818
5,Minho,Rose,819
6,Algarve,Rose,820
7,Lisboa,Red,821
5,Beira Atlantico,White,822
7,Tejo,White,823
5,Transmontano,Rose,824
5,Algarve,White,825
6,Beira Interior,Rose,826
6,Madeira,Rose,827
5,Lisboa,Red,828
7,Tejo,Red,829
6,Madeira,White,830
6,Setubal,Red,831
5,Douro Valley,Red,832
7,Transmontano,White,833
6,Terras De Cister,White,834
7,Minho,Red,835
7,Beira Interior,Rose,836
5,Beira Atlantico,Rose,837
5,Douro Valley,Red,838
7,Minho,Red,839
6,Beira Interior,Red,840
5,Beira Atlantico,Rose,841
7,Douro Valley,Rose,842
5,Douro Valley,Red,843
7,Dao,Rose,844
7,Douro Valley,Red,845
6,Setubal,White,846
5,Lisboa,Rose,847
6,Beira Interior,Red,848
5,Transmontano,Red,849
5,Madeira,White,850
5,Setubal,Rose,851
6,Lisboa,White,852
6,Algarve,Red,853
5,Lisboa,Rose,854
5,Dao,Rose,855
6,Madeira,Red,856
5,Lisboa,Red,857
7,Madeira,Red,858
6,Beira Interior,Rose,859
6,Lisboa,Rose,860
6,Madeira,White,861
5,Setubal,Rose,862
5,Minho,Rose,863
6,Beira Interior,White,864
7,Beira Atlantico,Red,865
7,Tejo,White,866
6,Terras De Cister,Rose,867
6,Minho,White,868
5,Minho,Red,869
6,Transmontano,Rose,870
5,Madeira,Rose,871
6,Madeira,Rose,872
5,Terras De Cister,Rose,873
7,Tejo,White,874
6,Dao,Red,875
5,Tejo,Rose,876
6,Terras De Cister,Rose,877
5,Tejo,Red,878
5,Douro Valley,White,879
5,Lisboa,Red,880
6,Beira Atlantico,Red,881
6,Beira Interior,Rose,882
6,Madeira,Red,883
6,Douro Valley,White,884
7,Transmontano,White,885
6,Setubal,Rose,886
4,Beira Interior,White,887
5,Dao,Red,888
6,Beira Interior,Rose,889
6,Tejo,Rose,890
5,Transmontano,Red,891
6,Minho,White,892
6,Madeira,Red,893
6,Madeira,White,894
6,Douro Valley,Red,895
4,Algarve,Red,896
4,Douro Valley,White,897
6,Douro Valley,Red,898
7,Alentejo,White,899
6,Beira Interior,Red,900
5,Algarve,White,901
7,Dao,Rose,902
7,Algarve,Red,903
5,Terras De Cister,White,904
5,Minho,White,905
5,Beira Interior,Red,906
8,Minho,Rose,907
5,Beira Atlantico,Rose,908
6,Douro Valley,White,909
5,Setubal,Rose,910
5,Douro Valley,Red,911
7,Douro Valley,Red,912
5,Dao,Red,913
6,Beira Atlantico,Rose,914
6,Terras De Cister,Red,915
5,Tejo,Red,916
5,Alentejo,Red,917
6,Minho,Red,918
6,Setubal,Rose,919
5,Transmontano,White,920
6,Tejo,Rose,921
8,Alentejo,Rose,922
6,Algarve,Rose,923
6,Setubal,Red,924
7,Beira Interior,White,925
6,Minho,Rose,926
6,Setubal,White,927
6,Lisboa,Rose,928
5,Lisboa,Rose,929
6,Lisboa,Red,930
7,Lisboa,Rose,931
6,Minho,White,932
7,Beira Atlantico,Rose,933
6,Transmontano,Rose,934
6,Dao,Rose,935
6,Alentejo,Rose,936
6,Tejo,Rose,937
6,Madeira,Red,938
6,Beira Interior,Red,939
6,Transmontano,White,940
6,Lisboa,Red,941
7,Beira Interior,Red,942
5,Terras De Cister,Red,943
6,Minho,White,944
6,Algarve,White,945
7,Beira Atlantico,White,946
6,Setubal,Rose,947
6,Minho,Rose,948
7,Algarve,White,949
7,Madeira,Red,950
6,Alentejo,Rose,951
6,Minho,Red,952
6,Minho,Red,953
5,Algarve,Rose,954
5,Transmontano,White,955
5,Tejo,Red,956
6,Beira Atlantico,Rose,957
6,Transmontano,Rose,958
6,Algarve,Red,959
7,Minho,Rose,960
6,Madeira,Rose,961
6,Algarve,White,962
6,Tejo,Red,963
6,Douro Valley,Red,964
6,Dao,Rose,965
6,Setubal,Rose,966
5,Dao,Red,967
7,Minho,White,968
5,Alentejo,White,969
5,Dao,Red,970
6,Madeira,White,971
5,Lisboa,Rose,972
6,Transmontano,White,973
5,Algarve,Red,974
6,Beira Atlantico,Rose,975
5,Minho,Rose,976
7,Lisboa,Rose,977
5,Dao,Red,978
6,Beira Interior,Red,979
6,Douro Valley,White,980
5,Beira Interior,White,981
5,Douro Valley,White,982
6,Madeira,Rose,983
7,Algarve,Rose,984
5,Transmontano,Red,985
5,Lisboa,Red,986
6,Tejo,Red,987
4,Minho,Red,988
8,Beira Interior,White,989
7,Madeira,Red,990
6,Dao,Red,991
6,Alentejo,Red,992
5,Douro Valley,Rose,993
4,Alentejo,White,994
6,Tejo,White,995
7,Terras De Cister,Red,996
5,Minho,White,997
7,Algarve,Rose,998
5,Douro Valley,Red,999
6,Transmontano,White,1000
6,Tejo,Rose,1001
7,Beira Atlantico,Rose,1002
6,Tejo,Rose,1003
6,Dao,Red,1004
6,Algarve,White,1005
6,Beira Interior,White,1006
5,Beira Interior,Red,1007
5,Beira Atlantico,White,1008
8,Dao,Red,1009
6,Douro Valley,White,1010
5,Beira Atlantico,Red,1011
6,Transmontano,Rose,1012
7,Tejo,Rose,1013
6,Dao,Rose,1014
7,Algarve,Rose,1015
5,Lisboa,Red,1016
6,Lisboa,White,1017
8,Terras De Cister,White,1018
5,Transmontano,Red,1019
6,Beira Interior,Red,1020
6,Minho,Red,1021
6,Dao,Red,1022
5,Tejo,White,1023
6,Terras De Cister,Rose,1024
5,Algarve,White,1025
6,Terras De Cister,Red,1026
5,Alentejo,Rose,1027
6,Douro Valley,Rose,1028
6,Algarve,Red,1029
6,Lisboa,Red,1030
5,Alentejo,Rose,1031
5,Madeira,White,1032
6,Alentejo,White,1033
5,Madeira,Red,1034
7,Tejo,White,1035
6,Beira Atlantico,Red,1036
5,Algarve,White,1037
6,Transmontano,Rose,1038
7,Tejo,Red,1039
6,Transmontano,Red,1040
7,Lisboa,Rose,1041
5,Dao,White,1042
4,Setubal,White,1043
7,Lisboa,White,1044
6,Setubal,Red,1045
6,Setubal,Red,1046
5,Beira Interior,Red,1047
7,Douro Valley,Red,1048
6,Beira Atlantico,White,1049
4,Setubal,Rose,1050
8,Tejo,White,1051
5,Madeira,Red,1052
5,Lisboa,Red,1053
8,Tejo,Rose,1054
6,Terras De Cister,Rose,1055
5,Algarve,Rose,1056
7,Tejo,Rose,1057
5,Terras De Cister,Rose,1058
5,Alentejo,Red,1059
7,Beira Interior,Red,1060
5,Algarve,Red,1061
7,Beira Interior,White,1062
7,Tejo,White,1063
7,Beira Atlantico,Red,1064
6,Transmontano,Red,1065
5,Lisboa,White,1066
8,Dao,White,1067
6,Beira Atlantico,White,1068
6,Beira Atlantico,Red,1069
7,Setubal,Rose,1070
6,Minho,Red,1071
5,Transmontano,White,1072
6,Alentejo,Red,1073
7,Beira Interior,Red,1074
5,Dao,Red,1075
